NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSGlobalAttributes,10,110,0,0,0,0,0,0
CSGtEq,10,20,0,0,0,0,0,0
CSExpressionStat,8764,8764,0,0,0,0,0,0
CSSimpleName,10377,71276,0,0,0,0,0,0
CSDefArg,23,23,0,0,0,0,0,0
CSUncheckedExpr,1,11,0,0,0,0,0,0
CSNewObject,2126,6378,0,0,16,48,0,0
CSExceptionSpec,8,56,0,0,0,0,0,0
CSParam,441,4069,0,0,0,0,0,0
CSLtEq,28,56,0,0,0,0,0,0
CSRankSpecifier,66,132,0,0,0,0,0,0
CSConstructor,18,364,0,0,0,0,0,0
CSExprMemberAccess,19093,19093,0,0,378,378,0,0
CSElse,99,396,0,0,0,0,0,0
CSTypeOf,18,144,0,0,0,0,0,0
CSOr,66,132,0,0,0,0,0,0
CSDotName,6837,6837,0,0,0,0,0,0
CSSingleAccess,6656,57852,0,0,0,0,0,0
CSForeach,2,61,0,0,0,0,0,0
CSAliasTypeRef,743,3163,0,0,0,0,0,0
CSLiteral,8243,57538,0,0,0,0,0,0
CSPlus,555,555,0,0,0,0,0,0
CSProperty,21,478,0,0,0,0,0,0
CSAttrArgList,28,57,0,0,0,0,0,0
CSArg,6071,60,0,0,0,0,0,0
CSLocalVar,192,0,0,0,0,0,0,0
CSNegate,17,17,0,0,0,0,0,0
CSPPRegion,39,1350,0,0,0,0,0,0
CSNewNonArrayTypeArray,16,48,0,0,0,0,0,0
CSInc,27,54,0,0,0,0,0,0
CSAttrSection,19,38,0,0,0,0,0,0
CSMethod,327,7763,0,0,0,0,0,0
CSAttribute,29,0,0,0,0,0,0,0
CSAnd,32,64,0,0,0,0,0,0
CSVarInit,333,333,0,0,0,0,0,0
CSNewArrayTypeArray,40,120,0,0,0,0,0,0
CSSwitch,8,80,0,0,0,0,0,0
CSCase,32,160,0,0,0,0,0,0
CSNotEql,60,120,0,0,0,0,0,0
CSIf,389,1556,0,0,0,0,0,0
CSArrayTypeRef,66,0,0,0,0,0,0,0
CSNot,142,142,0,0,0,0,0,0
CSVarDeclarator,928,10697,0,0,0,0,0,0
CSBaseInit,18,90,0,0,0,0,0,0
CSTypeBase,18,18,0,0,0,0,0,0
CSThisMemberAccess,8129,8129,0,0,70,70,0,0
CSExprElementAccess,343,0,0,0,0,0,0,0
CSDec,3,6,0,0,0,0,0,0
CSFor,20,140,0,0,0,0,0,0
CSThis,8262,33048,0,0,0,0,0,0
CSPPEndRegion,39,390,0,0,0,0,0,0
CSParamList,345,900,0,0,0,0,0,0
CSIndexList,359,763,0,0,0,0,0,0
CSArrayInitializer,40,653,0,0,0,0,0,0
CSBlock,977,1954,0,0,0,0,0,0
CSNested,163,326,0,0,0,0,0,0
CSTypeSpec,2,4,0,0,0,0,0,0
CSArgList,4132,11348,0,0,0,0,0,0
CSWhile,20,140,0,0,0,0,0,0
CSGet,21,63,0,0,0,0,0,0
CSDefault,2,14,0,0,0,0,0,0
CSEql,168,336,0,0,0,0,0,0
CSReturn,112,784,0,0,0,0,0,0
CSForInit,20,0,0,0,0,0,0,0
CSCatch,29,145,0,0,0,0,0,0
CSBitOr,48,48,0,0,0,0,0,0
CSForExprs,14,0,0,0,0,0,0,0
CSConstStat,2,0,0,0,0,0,0,0
CSAssign,7477,7702,0,0,0,0,0,0
CSSwitchSection,31,0,0,0,0,0,0,0
CSUsingNamespace,99,594,0,0,0,0,0,0
CSLocalVarStat,186,186,0,0,0,0,0,0
CSTypeRef,3363,0,0,0,39,0,0,0
CSTry,45,135,0,0,0,0,0,0
CSCall,1965,0,0,0,7,0,0,0
CSBreak,34,204,0,0,0,0,0,0
CSMemberAccess,27670,238830,0,0,0,0,0,0
CSDiv,2,2,0,0,0,0,0,0
CSCompilationUnit,40,0,0,0,0,0,0,0
CSPropBody,21,42,0,0,0,0,0,0
CSConstPattern,70,0,0,0,0,0,0,0
CSNamespace,39,429,0,0,0,0,0,0
CSCast,156,312,0,0,0,0,0,0
CSAttrArg,11,0,0,0,0,0,0,0
CSMult,17,17,0,0,0,0,0,0
CSMinus,34,34,0,0,0,0,0,0
CSCond,8,16,0,0,0,0,0,0
CSClass,39,1255,0,0,0,0,0,0
CSSet,21,63,0,0,0,0,0,0
CSGt,8,8,0,0,0,0,0,0
CSFinally,16,112,0,0,0,0,0,0
CSConst,14,84,0,0,0,0,0,0
CSLt,6,6,0,0,0,0,0,0
CSIsPattern,70,140,0,0,0,0,0,0
CSField,719,5523,0,0,0,0,0,0
