Element,Count,Status
System.Windows.Forms.CheckBox,6,1
System.Windows.Forms.Timer,1,1
System.Windows.Forms.PictureBox,6,1
UpgradeHelpers.DB.ADO.ADODataControlHelper,3,1
System.Windows.Forms.DateTimePicker,6,1
System.Windows.Forms.ToolStripButton,18,0
System.Windows.Forms.Button,44,1
UpgradeHelpers.DataGridViewFlex,6,1
UpgradeHelpers.Gui.Controls.CommandButtonHelper,13,0
System.Windows.Forms.StatusStrip,10,1
System.Windows.Forms.GroupBox,18,1
System.Windows.Forms.ComboBox,5,1
UpgradeHelpers.Gui.Controls.ListControlHelper,2,0
System.Windows.Forms.ToolStripSeparator,1,0
System.Windows.Forms.Label,156,1
UpgradeHelpers.Gui.Controls.ListViewHelper,6,0
System.Windows.Forms.Form,36,1
System.Windows.Forms.ImageList,3,0
System.Windows.Forms.MenuStrip,1,1
System.Windows.Forms.ToolTip,18,0
System.Windows.Forms.ListView,8,1
System.Windows.Forms.ToolStripStatusLabel,12,0
System.Windows.Forms.ColumnHeader,50,0
System.Windows.Forms.TextBox,128,1
System.Windows.Forms.ToolStripMenuItem,17,0
System.Windows.Forms.ToolStrip,3,1
